運用ID,運用番号,出庫,入庫,列車1,列車2,列車3,列車4,列車5,列車6,列車7,列車8,列車9,列車10,列車11,列車12,列車13,列車14,列車15,列車16,列車17,列車18,列車19,列車20,列車21,列車22,列車23,列車24,列車25,列車26,列車27,列車28,列車29,列車30
ja71,71,かしわ台 車セ,川越車セ,回送,3120,120M,221M,6221,6228,228M・4971K,970K,1071K,1170K,1271K,1270K,1371K,1470K,1571K,1570K,1671K,1770K,1871K,1870K,1971K,2070K,2171K,2170K,2271K,回送 川越車セ,2271K新宿 2217,回送 川越車セ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soja70,70,相模大塚 電留7番,相模大塚 電留9番,回送,2004,2003,2014,3007,3130,130M,233M,6233,6238,238M,245M,6245,6248,248M,255M,6255,6260,260M,137M,3137,6272,272M,277M,6277,3142,142M,285M,6285,回送
soja71,71,相模大塚 電留9番,かしわ台 車セ,回送,3122,122M,121M,3121,3128,128M,231M,6231,6236,236M,243M,6243,6246,246M,253M,6253,6258,258M,135M,3135,6270,270M,275M,6275,2094,2527,6804,3073,回送
soja72,72,かしわ台 車セ,厚木 電留10番,回送,3132,132M,129M,3129,3022,2027,6244,244M,251M,6251,6254,254M,261M,6261,2076,3053,6274,274M,279M,6279,回送,かしわ台車両センター,回送,かしわ台車両センター,回送かしわ台 2226,,,,
soja73,73,厚木 電留10番,相模大塚 7番,回送,回送,6220,220M,123M,3123,回送,かしわ台車両センター,回送,6284,284M,283M,6283,回送,6283羽沢横浜国大 2259,回送海老名 2348,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twr81,81,東臨 運輸区,東臨 運輸区,581T,580T,681T,680T,681F,880F,1081F,1280F,1381F,1580F,1781F,1880F,2081T,2080T,2181T,2180T,2281T,2280T,2381T,2480T,2381T新木場 2337,2480T大崎 2401,,,,,,,,
twr83,83,東臨 運輸区,東臨 運輸区,582T,583T,682T,683K,882K,983F,1182F,1283F,1482F,1683F,1782F,1983K,2082K,2183K,2282K,2183K新宿 2117,2282K大宮 2219,,,,,,,,,,,,,
twr85,85,東臨 運輸区,川越車セ,584T,585T,684T,685T,784T,785K,984K,1085K,1084K,1185K,1284K,1385K,1384K,1485K,1584K,1685K,1684K,1785K,1884K,1885K,1984K,2085K,2184K,2185K,回送 川越車セ,2185K新宿 2157,回送 川越車セ,,,
twr87,87,東臨 運輸区,東臨 運輸区,686T,687T,636T,787F,986F,1087F,1286F,1487F,1686F,1887K,1986K,2087K,2186K,2187K,2286K,2387T,2486T,2387T新木場 2354,2486T大崎 2418,,,,,,,,,,,
twr89,89,東臨 運輸区,東臨 運輸区,688T,789K,888K,1089T,1088T,1189T,1188T,1289T,1388T,1389T,1488T,1489T,1588T,1589T,1688T,1689T,1788T,1789T,1888T,1889T,1988T,1989T,2088T,2089T,2188T,2189T,2288T,2289T,2288T大崎 2212,2289T新木場 2245
twr91,91,川越車セ,東臨 運輸区,回送 指扇,590K,691F,790F,991T,990T,1091T,990T大崎 939,1091T新木場 1001,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hae61,61,八王子 1番線,高麗川 3番線,460H・461E,660E・661H,760H・761E,961H,高麗川留置,1860H,1861H,1960H,2060E・2061H,2161E,2160E,2260H・2261E,2461H,,,,,,,,,,,,,,,,,
hae63,63,八王子 北2番,拝島側線 八王子方,562H・563E,662E・663H,763E,,,,,,,,,,,,,,,,,,,,,,,,,,,
hae65,65,八王子 北1番,川越車セ,564H・565E,764E・765H,864H・865E,1064E・1065H,1164H・1165E,1364E・1365H,1464H・1465E,1664E・1665H,1764H・1765E,1964E・1965H,2064H・2065E,,,,,,,,,,,,,,,,,,,
hae67,67,拝島側線 八王子方,拝島側線 高麗川方,666H・667E,866E・867H,1066H・1067E,1166E・1167H,1366H・1367E,1466E・1467H,1666H・1667E,1766E・1767H,1966H・1967E,2066E・2067H,2166H・2167E,2266E・2267H,,,,,,,,,,,,,,,,,,
hae69,69,高麗川 3番線,八王子 北2番,568E,668H・669E,768E・769H,968H・969E,1068E・1069H,1268H・1269E,1368E・1369H,1568H・1569E,1669H,1768H,1768E・1769H,1968H・1969E,2168E・2169H,,,,,,,,,,,,,,,,,
hae71,71,高麗川 5番線,八王子 北1番,670E,670H・671E,870E・871H,1071E,1170E,1270H・1271E,1470E・1471H,1570H・1571E,1770E・1771H,1871E,1970E,,,,,,,,,,,,,,,,,,,
hae73,73,川越車セ,高麗川 5番線,572E・573H,673E,772E,872H・873E,回送 川越車セ,川越車両センター,回送 川越,1672E・1673H,1772H・1773E,1872E・1873H,2072H・2073E,2172E・2173H,2373E,,,,,,,,,,,,,,,,,
hae75,75,川越車セ,八王子 1番線,575H,674H,674E・675H,874H・875E,974E・975H,1174H・1175E,1274E・1275H,1474H・1475E,1574E・1575H,1674H・1675E,1874E・1875H,1974H・1975E,2175H,2174H,2274E・2275H,,,,,,,,,,,,,,,
hae77,77,川越車セ,川越車セ,676E・677H,776H・777E,回送 川越車セ,,,,,,,,,,,,,,,,,,,,,,,,,,,
hae79,79,拝島側線 高麗川方,川越車セ,578H・579E,779H,778H,878E・879H,978H・979E,1179H,1178H,1278E・1279H,1378H・1379E,1578E・1579H,1679E,1778E,1779E,4778E,1878H・1879E,1979H,2078H,2078E・2079H,2278H・2279E,2379H,,,,,,,,,,
