運用ID,運用番号,出庫,入庫,列車1,列車2,列車3,列車4,列車5,列車6,列車7,列車8,列車9,列車10,列車11,列車12,列車13,列車14,列車15,列車16,列車17,列車18,列車19,列車20,列車21,列車22,列車23,列車24,列車25,列車26,列車27,列車28,列車29,列車30
ja61,61,かしわ台 車セ,新宿 5番線,回送,3126,126M・4761S,860S,1061K,1060K,3061K,1160K,1161K,1260K,1261K,1360K,1361K,1460K,1461K,1560K,1561K,1660K,1661S,1860S,1961K,2060K,2061S,2260K,回送,,,,,
ja63,63,かしわ台 車セ,川越車セ,回送,3128,128M・4763K,862K,963K,1062K,1163K,1262K,1263K,1362K,1463K,1562K,1563K,1662K,1763K,1962K,2163K,回送 川越車セ,,,,,,,,,,,,
ja65,65,かしわ台 車セ,川越車セ,回送,6220,220M・4865K,964K,1065F,1264F,1365F,1564F,1765S,1864S,2065K,2064K,2165K,2264K,2265S,回送 川越車セ,,,,,,,,,,,,,,
ja67,67,かしわ台 車セ,かしわ台 車セ,回送,3130,130M・4867K,237M・4866K,6237,回送,相模大塚電留線,回送,6260,260M,129M,3129,3144,144M,141M,3141,回送,,,,,,,,,,,,,
ja69,69,かしわ台 車セ,大宮駅 21番線,回送,3132,132M・4869S,968F,1169K,1168K,1269K,1268K,1369F,1568F,1669K,1768K,1769S,1968S,2169S,2268K,2469K,,,,,,,,,,,,,
ja71,71,かしわ台 車セ,新木場 1番線,回送,6222,222M・4971K,回送 川越車セ,川越車両センター,回送 指扇,1670K,1771K,1870K,1971K,2070K,2171K,2270K,2371K,2370K,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so70,70,相模大塚 電留7番,相模大塚 電留9番,回送,1414,2015,6226,226M,239M,6239,6240,240M,251M,6251,6250,250M,261M,6261,3138,138M,127M,3127,3142,142M,139M,3139,回送,,,,,,
so71,71,相模大塚 電留9番,かしわ台 車セ,回送,3122,122M,223M,6223,6224,224M,123M,3123,6238,238M,249M,6249,6248,248M,259M,6259,6258,258M,271M,6271,3054,2103,3148,148M,277M,6277,2126,2137,回送
so72,72,かしわ台 車セ,厚木 電留10番,回送,3120,120M,221M,6221,3134,134M・4877K,池袋電留線,回送,263M,6263,6262,262M,131M,3131,6270,270M,275M,6275,回送,回送,,,,,,,,,
so73,73,厚木 電留10番,相模大塚 電留7番,回送,回送,3124,124M,225M,6225,回送,かしわ台車両センター,回送,6278,278M,283M,6283,回送,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twr81,81,東臨 運輸区,東臨 運輸区,581T,580T,681T,680T,781T,780T,881K,980K,1081K,1180K,1181K,1280K,1281K,1380K,1481K,1580K,1581K,1780K,1881T,1880T,1981T,1980T,2081S,2180K,2381T,2480T,,,,
twr83,83,東臨 運輸区,東臨 運輸区,582T,583T,682T,683S,882S,983F,1182F,1383F,1482F,1683S,1882S,1983T,2082T,2083K,2182K,2283T,,,,,,,,,,,,,,
twr85,85,東臨 運輸区,川越車セ,584T,585T,684T,685T,784T,785S,984S,1085F,1284F,1485F,1584F,1785S,1984S,2085K,2184K,2285K,回送 川越車セ,,,,,,,,,,,,,
twr87,87,東臨 運輸区,東臨 運輸区,686T,687T,636T,787F,886S,987K,1086K,1087K,1186K,1287K,1386K,1387K,1486K,1587K,1686K,1787K,1986K,2087S,2286K,2387T,2486T,,,,,,,,,
twr89,89,東臨 運輸区,東臨 運輸区,688T,689T,788T,789T,738T,889K,988K,1089T,1088T,1189F,1388F,1489T,1588T,1589T,1688T,1689T,1638T,1789T,1788T,1889K,1988K,2189T,,,,,,,,
twr91,91,川越車セ,東臨 運輸区,回送 川越,590K,691S,790S,991T,東臨運輸区,1690T,1691T,1640T,1791T,1790T,1891T,1890T,1891S,2090S,2191T,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hae61,61,八王子 1番線,高麗川 3番線,460H・461E,660E・661H,760H・761E,860E・861H,1060H・1061E,1160E・1161H,1360H・1361E,1460E・1461H,1660H・1661E,1760E・1761H,1860H・1861E,2061H,2060H,2160E・2161H,2260H・2261E,2461H,,,,,,,,,,,,,,
hae63,63,八王子 北2番,拝島側線 八王子方,562H・563E,762E・763H,863E,,,,,,,,,,,,,,,,,,,,,,,,,,,
hae65,65,八王子 北1番,川越車セ,564H・565E,664E・665H,765E,764E,865E,864E,964H・965E,1064E・1065H,1264H・1265E,1364E・1365H,1564H・1565E,1664E・1665H,1764H・1765E,1964E・1965H,2064H・2065E,回送 川越車セ,,,,,,,,,,,,,,
hae67,67,拝島側線 八王子方,拝島側線 高麗川方,667E,666E,766H・767E,966E・967H,1066H・1067E,1266E・1267H,1366H・1367E,1566E・1567H,1667E,1766E,1767E,1866E,1866H・1867E,1966E・1967H,2166H・2167E,2266E・2267H,,,,,,,,,,,,,,
hae69,69,高麗川 3番線,八王子 北2番,568E,668H・669E,768E・769H,868H・869E,1068E・1069H,1168H・1169E,1368E・1369H,1468H・1469E,1668E・1669H,1768H・1769E,1868E・1869H,1968H・1969E,2168E・2169H,,,,,,,,,,,,,,,,,
hae71,71,高麗川 5番線,八王子 北1番,670E,770H・771E,870E・871H,八王子電留,1771E,1770E,,,,,,,,,,,,,,,,,,,,,,,,
hae73,73,川越車セ,川越車セ,572E・573H,672H・673E,773H,872H,回送 川越車セ,,,,,,,,,,,,,,,,,,,,,,,,,
hae75,75,川越車セ,八王子 1番線,574E・575H,674H・675E,874E・875H,974H・975E,1174E・1175H,1274H・1275E,1474E・1475H,1574H・1575E,1774E・1775H,1874H・1875E,1974E・1975H,2174H・2175E,2274E・2275H,,,,,,,,,,,,,,,,,
hae77,77,川越車セ,高麗川 5番線,676E・677H,876H・877E,回送 川越車セ,川越車両センター,回送 川越,1677H,1776H,1777H,1876H,1876E・1877H,2076H・2077E,2176E・2177H,2377E,,,,,,,,,,,,,,,,,
hae79,79,拝島側線 高麗川方,川越車セ,578H・579E,678E・679H,878H・879E,978E・979H,1178H・1179E,1278E・1279H,1478H・1479E,1578E・1579H,1678H・1679E,1878E・1879H,1978H・1979E,2078E・2079H,2278H・2279E,2379H,回送 川越車セ,,,,,,,,,,,,,,,
