路線ID,駅ID,分岐方向,分岐路線,分岐表示先,乗換路線,乗換表示先
jreji1,ji01,,,,,
jreji1,ji02,,,,,
jreji1,ji03,,,,,
jreji1,ji04,,,,,
jreji1,ji05,,,,,
jreji3,ji06,or,jreji1,tsurumi-1,jreji1,tsurumi-1
,ji61,,,,,
