路線ID,駅ID,分岐方向,分岐路線,表示先
jreji1,ji01,,,
jreji1,ji02,,,
jreji1,ji03,,,
jreji1,ji04,,,
jreji1,ji05,ol,jreji2,tsurumi-2
jreji1,ji06,ol,jreji3,tsurumi-3
jreji1,ji07,,,
jreji1,ji08,ir,jrejnh,nanbuh
jreji1,ji09,,,
,ji10,,,
