路線ID,駅ID,分岐方向,分岐路線,表示先
jreji,ji01,,,
jreji,ji02,,,
jreji,ji03,,,
jreji,ji04,,,
jreji,ji05,or,jreji0,tsurumi-1
jreji,ji51,,,
,ji52,,,
